country,vaccine,multilateral_agreement,donations,covax,unknown,total
China,Unknown,(Blank),(Blank),(Blank),"1,318,417,000","1,318,417,000"
United States of America,Pfizer BioNTech - Comirnaty,"190,173,165",(Blank),(Blank),(Blank),"190,173,165"
United States of America,Moderna - mRNA-1273,"157,850,400",(Blank),(Blank),(Blank),"157,850,400"
United States of America,Janssen - Ad26.COV 2.S,"18,170,300",(Blank),(Blank),(Blank),"18,170,300"
India,Unknown,(Blank),(Blank),(Blank),"202,989,497","202,989,497"
India,SII - Covishield,"143,440,000",(Blank),"10,000,000",(Blank),"153,440,000"
India,Gamaleya - Sputnik V,"3,150,000",(Blank),(Blank),(Blank),"3,150,000"
India,Bharat - Covaxin,(Blank),"1,650,000",(Blank),(Blank),"1,650,000"
Brazil,Unknown,(Blank),(Blank),(Blank),"79,244,933","79,244,933"
Brazil,AstraZeneca - Vaxzevria,"18,800,000",(Blank),"5,073,600",(Blank),"23,873,600"
Brazil,SII - Covishield,"4,000,000",(Blank),(Blank),(Blank),"4,000,000"
Brazil,Pfizer BioNTech - Comirnaty,"2,564,290",(Blank),"842,400",(Blank),"3,406,690"
Brazil,Janssen - Ad26.COV 2.S,"1,500,000",(Blank),(Blank),(Blank),"1,500,000"
Brazil,Sinovac - CoronaVac,"800,000",(Blank),(Blank),(Blank),"800,000"
Germany,Pfizer BioNTech - Comirnaty,"62,135,667",(Blank),(Blank),(Blank),"62,135,667"
Germany,AstraZeneca - Vaxzevria,"15,199,460",(Blank),(Blank),(Blank),"15,199,460"
Germany,Moderna - mRNA-1273,"7,641,280",(Blank),(Blank),(Blank),"7,641,280"
Germany,Janssen - Ad26.COV 2.S,"3,611,295",(Blank),(Blank),(Blank),"3,611,295"
United Kingdom of Great Britain and Northern Ireland,Unknown,(Blank),(Blank),(Blank),"73,078,081","73,078,081"
United Kingdom of Great Britain and Northern Ireland,SII - Covishield,"5,000,000",(Blank),(Blank),(Blank),"5,000,000"
United Kingdom of Great Britain and Northern Ireland,Pfizer BioNTech - Comirnaty,"1,000,000",(Blank),"539,370",(Blank),"1,539,370"
Indonesia,Sinovac - CoronaVac,"66,800,000",(Blank),(Blank),(Blank),"66,800,000"
Indonesia,AstraZeneca - Vaxzevria,(Blank),(Blank),"8,228,400",(Blank),"8,228,400"
Indonesia,Moderna - mRNA-1273,(Blank),(Blank),"3,000,060",(Blank),"3,000,060"
Indonesia,Sinopharm (Beijing) - BBIBP-CorV,"1,482,400",(Blank),(Blank),(Blank),"1,482,400"
France,Pfizer BioNTech - Comirnaty,"46,195,110",(Blank),(Blank),(Blank),"46,195,110"
France,AstraZeneca - Vaxzevria,"9,423,900",(Blank),(Blank),(Blank),"9,423,900"
France,Moderna - mRNA-1273,"6,127,600",(Blank),(Blank),(Blank),"6,127,600"
France,Janssen - Ad26.COV 2.S,"2,571,800",(Blank),(Blank),(Blank),"2,571,800"
Italy,Pfizer BioNTech - Comirnaty,"41,038,330",(Blank),(Blank),(Blank),"41,038,330"
Italy,AstraZeneca - Vaxzevria,"12,464,323",(Blank),(Blank),(Blank),"12,464,323"
Italy,Moderna - mRNA-1273,"6,105,689",(Blank),(Blank),(Blank),"6,105,689"
Italy,Janssen - Ad26.COV 2.S,"2,254,601",(Blank),(Blank),(Blank),"2,254,601"
Turkey,Sinovac - CoronaVac,"25,000,000",(Blank),(Blank),(Blank),"25,000,000"
Turkey,Unknown,(Blank),(Blank),(Blank),"24,648,190","24,648,190"
Turkey,Pfizer BioNTech - Comirnaty,"4,500,000",(Blank),(Blank),(Blank),"4,500,000"
Japan,Unknown,(Blank),(Blank),(Blank),"47,958,363","47,958,363"
Japan,Pfizer BioNTech - Comirnaty,"2,912,600",(Blank),(Blank),(Blank),"2,912,600"
Spain,Pfizer BioNTech - Comirnaty,"30,999,455",(Blank),(Blank),(Blank),"30,999,455"
Spain,AstraZeneca - Vaxzevria,"8,265,900",(Blank),(Blank),(Blank),"8,265,900"
Spain,Moderna - mRNA-1273,"4,342,800",(Blank),(Blank),(Blank),"4,342,800"
Spain,Janssen - Ad26.COV 2.S,"1,681,700",(Blank),(Blank),(Blank),"1,681,700"
Canada,Pfizer BioNTech - Comirnaty,"28,971,444",(Blank),(Blank),(Blank),"28,971,444"
Canada,Moderna - mRNA-1273,"11,045,670",(Blank),(Blank),(Blank),"11,045,670"
Canada,SII - Covishield,"2,449,460",(Blank),(Blank),(Blank),"2,449,460"
Canada,AstraZeneca - Vaxzevria,(Blank),(Blank),"972,000",(Blank),"972,000"
Canada,Janssen - Ad26.COV 2.S,"300,000",(Blank),(Blank),(Blank),"300,000"
Russian Federation,Unknown,(Blank),(Blank),(Blank),"42,803,292","42,803,292"
Russian Federation,SRCVB - EpiVacCorona,"230,000",(Blank),(Blank),(Blank),"230,000"
Poland,Pfizer BioNTech - Comirnaty,"27,499,680",(Blank),(Blank),(Blank),"27,499,680"
Poland,AstraZeneca - Vaxzevria,"7,047,300",(Blank),(Blank),(Blank),"7,047,300"
Poland,Moderna - mRNA-1273,"3,769,600",(Blank),(Blank),(Blank),"3,769,600"
Poland,Janssen - Ad26.COV 2.S,"1,503,700",(Blank),(Blank),(Blank),"1,503,700"
