code,region,date,vaccinated,cum_vaccinated
OWID_WRL,World,12/3/20,0,0
OWID_WRL,World,12/4/20,1,1
OWID_WRL,World,12/5/20,0,1
OWID_WRL,World,12/6/20,0,1
OWID_WRL,World,12/7/20,0,1
OWID_WRL,World,12/8/20,0,1
OWID_WRL,World,12/9/20,0,1
OWID_WRL,World,12/10/20,0,1
OWID_WRL,World,12/11/20,0,1
OWID_WRL,World,12/12/20,0,1
OWID_WRL,World,12/13/20,86465,86466
OWID_WRL,World,12/14/20,5,86471
OWID_WRL,World,12/15/20,1529218,1615689
OWID_WRL,World,12/16/20,2301,1617990
OWID_WRL,World,12/17/20,4180,1622170
OWID_WRL,World,12/18/20,3973,1626143
OWID_WRL,World,12/19/20,781,1626924
OWID_WRL,World,12/20/20,1153250,2780174
OWID_WRL,World,12/21/20,90921,2871095
OWID_WRL,World,12/22/20,73863,2944958
OWID_WRL,World,12/23/20,504196,3449154
OWID_WRL,World,12/24/20,98151,3547305
OWID_WRL,World,12/25/20,43699,3591004
OWID_WRL,World,12/26/20,976309,4567313
OWID_WRL,World,12/27/20,500379,5067692
OWID_WRL,World,12/28/20,371490,5439182
OWID_WRL,World,12/29/20,270210,5709392
OWID_WRL,World,12/30/20,992061,6701453
OWID_WRL,World,12/31/20,3312565,10014018
OWID_WRL,World,1/1/21,118958,10132976
OWID_WRL,World,1/2/21,2358616,12491592
OWID_WRL,World,1/3/21,619042,13110634
OWID_WRL,World,1/4/21,814844,13925478
OWID_WRL,World,1/5/21,1563148,15488626
OWID_WRL,World,1/6/21,1007618,16496244
OWID_WRL,World,1/7/21,1226948,17723192
OWID_WRL,World,1/8/21,1399743,19122935
OWID_WRL,World,1/9/21,4906177,24029112
OWID_WRL,World,1/10/21,1665239,25694351
OWID_WRL,World,1/11/21,3078852,28773203
OWID_WRL,World,1/12/21,1238566,30011769
OWID_WRL,World,1/13/21,3464424,33476193
OWID_WRL,World,1/14/21,2457656,35933849
OWID_WRL,World,1/15/21,2731420,38665269
OWID_WRL,World,1/16/21,1156680,39821949
OWID_WRL,World,1/17/21,813298,40635247
OWID_WRL,World,1/18/21,1540061,42175308
OWID_WRL,World,1/19/21,5071252,47246560
OWID_WRL,World,1/20/21,7514781,54761341
OWID_WRL,World,1/21/21,2964757,57726098
OWID_WRL,World,1/22/21,3670960,61397058
OWID_WRL,World,1/23/21,3106059,64503117
OWID_WRL,World,1/24/21,2670288,67173405
OWID_WRL,World,1/25/21,2669213,69842618
OWID_WRL,World,1/26/21,2572803,72415421
OWID_WRL,World,1/27/21,11082369,83497790
OWID_WRL,World,1/28/21,4270118,87767908
OWID_WRL,World,1/29/21,4185795,91953703
OWID_WRL,World,1/30/21,3775188,95728891
OWID_WRL,World,1/31/21,4353576,100082467
OWID_WRL,World,2/1/21,2964222,103046689
OWID_WRL,World,2/2/21,2596230,105642919
OWID_WRL,World,2/3/21,10870879,116513798
OWID_WRL,World,2/4/21,4665310,121179108
OWID_WRL,World,2/5/21,4280133,125459241
OWID_WRL,World,2/6/21,4349902,129809143
OWID_WRL,World,2/7/21,3612986,133422129
OWID_WRL,World,2/8/21,3271360,136693489
OWID_WRL,World,2/9/21,12758914,149452403
OWID_WRL,World,2/10/21,4858088,154310491
OWID_WRL,World,2/11/21,4881894,159192385
OWID_WRL,World,2/12/21,5622148,164814533
OWID_WRL,World,2/13/21,5041525,169856058
OWID_WRL,World,2/14/21,3969707,173825765
OWID_WRL,World,2/15/21,3100350,176926115
OWID_WRL,World,2/16/21,5766656,182692771
OWID_WRL,World,2/17/21,4877258,187570029
OWID_WRL,World,2/18/21,6161226,193731255
OWID_WRL,World,2/19/21,5489738,199220993
OWID_WRL,World,2/20/21,4563069,203784062
OWID_WRL,World,2/21/21,3553879,207337941
OWID_WRL,World,2/22/21,3679437,211017378
OWID_WRL,World,2/23/21,4501732,215519110
OWID_WRL,World,2/24/21,5490005,221009115
OWID_WRL,World,2/25/21,6094226,227103341
OWID_WRL,World,2/26/21,6338396,233441737
OWID_WRL,World,2/27/21,5516965,238958702
OWID_WRL,World,2/28/21,16505817,255464519
OWID_WRL,World,3/1/21,5009533,260474052
OWID_WRL,World,3/2/21,10483709,270957761
OWID_WRL,World,3/3/21,7190915,278148676
OWID_WRL,World,3/4/21,8443939,286592615
OWID_WRL,World,3/5/21,8182724,294775339
OWID_WRL,World,3/6/21,7455942,302231281
OWID_WRL,World,3/7/21,5463428,307694709
OWID_WRL,World,3/8/21,6897572,314592281
OWID_WRL,World,3/9/21,6936168,321528449
OWID_WRL,World,3/10/21,8749402,330277851
OWID_WRL,World,3/11/21,8234122,338511973
OWID_WRL,World,3/12/21,9718601,348230574
OWID_WRL,World,3/13/21,10057241,358287815
OWID_WRL,World,3/14/21,16811496,375099311
OWID_WRL,World,3/15/21,9832273,384931584
OWID_WRL,World,3/16/21,8300078,393231662
OWID_WRL,World,3/17/21,10399827,403631489
OWID_WRL,World,3/18/21,9815039,413446528
OWID_WRL,World,3/19/21,12301098,425747626
OWID_WRL,World,3/20/21,19600871,445348497
OWID_WRL,World,3/21/21,6034131,451382628
OWID_WRL,World,3/22/21,15939898,467322526
OWID_WRL,World,3/23/21,12772119,480094645
OWID_WRL,World,3/24/21,13864535,493959180
OWID_WRL,World,3/25/21,16233923,510193103
OWID_WRL,World,3/26/21,18397954,528591057
OWID_WRL,World,3/27/21,14962652,543553709
OWID_WRL,World,3/28/21,11159315,554713024
OWID_WRL,World,3/29/21,15108509,569821533
OWID_WRL,World,3/30/21,13011888,582833421
OWID_WRL,World,3/31/21,18916167,601749588
OWID_WRL,World,4/1/21,20061488,621811076
OWID_WRL,World,4/2/21,21397751,643208827
OWID_WRL,World,4/3/21,13836206,657045033
OWID_WRL,World,4/4/21,12787708,669832741
OWID_WRL,World,4/5/21,13361912,683194653
OWID_WRL,World,4/6/21,15811864,699006517
OWID_WRL,World,4/7/21,17848023,716854540
OWID_WRL,World,4/8/21,23056566,739911106
OWID_WRL,World,4/9/21,20904947,760816053
OWID_WRL,World,4/10/21,18422646,779238699
OWID_WRL,World,4/11/21,13596706,792835405
OWID_WRL,World,4/12/21,18006511,810841916
OWID_WRL,World,4/13/21,18990999,829832915
OWID_WRL,World,4/14/21,18153869,847986784
OWID_WRL,World,4/15/21,18118110,866104894
OWID_WRL,World,4/16/21,17172302,883277196
OWID_WRL,World,4/17/21,13553683,896830879
OWID_WRL,World,4/18/21,14646066,911476945
OWID_WRL,World,4/19/21,15135079,926612024
OWID_WRL,World,4/20/21,12318832,938930856
OWID_WRL,World,4/21/21,18127432,957058288
OWID_WRL,World,4/22/21,22022758,979081046
OWID_WRL,World,4/23/21,18690319,997771365
OWID_WRL,World,4/24/21,13060811,1010832176
OWID_WRL,World,4/25/21,19774040,1030606216
OWID_WRL,World,4/26/21,16603543,1047209759
OWID_WRL,World,4/27/21,19497319,1066707078
OWID_WRL,World,4/28/21,24885635,1091592713
OWID_WRL,World,4/29/21,24299557,1115892270
OWID_WRL,World,4/30/21,25246835,1141139105
OWID_WRL,World,5/1/21,15076995,1156216100
OWID_WRL,World,5/2/21,12687199,1168903299
OWID_WRL,World,5/3/21,13460153,1182363452
OWID_WRL,World,5/4/21,18643969,1201007421
OWID_WRL,World,5/5/21,19570306,1220577727
OWID_WRL,World,5/6/21,23679660,1244257387
OWID_WRL,World,5/7/21,26559373,1270816760
OWID_WRL,World,5/8/21,19779706,1290596466
OWID_WRL,World,5/9/21,16227958,1306824424
OWID_WRL,World,5/10/21,22812960,1329637384
OWID_WRL,World,5/11/21,24665123,1354302507
OWID_WRL,World,5/12/21,26246899,1380549406
OWID_WRL,World,5/13/21,26818373,1407367779
OWID_WRL,World,5/14/21,26209101,1433576880
OWID_WRL,World,5/15/21,23458345,1457035225
OWID_WRL,World,5/16/21,23984603,1481019828
OWID_WRL,World,5/17/21,26882997,1507902825
OWID_WRL,World,5/18/21,27466989,1535369814
OWID_WRL,World,5/19/21,27386758,1562756572
OWID_WRL,World,5/20/21,34325820,1597082392
OWID_WRL,World,5/21/21,29961749,1627044141
OWID_WRL,World,5/22/21,27460924,1654505065
OWID_WRL,World,5/23/21,23881411,1678386476
OWID_WRL,World,5/24/21,28741768,1707128244
OWID_WRL,World,5/25/21,39835531,1746963775
OWID_WRL,World,5/26/21,35732203,1782695978
OWID_WRL,World,5/27/21,33024282,1815720260
OWID_WRL,World,5/28/21,33547036,1849267296
OWID_WRL,World,5/29/21,31941613,1881208909
OWID_WRL,World,5/30/21,29818809,1911027718
OWID_WRL,World,5/31/21,36493365,1947521083
OWID_WRL,World,6/1/21,38995934,1986517017
OWID_WRL,World,6/2/21,39434218,2025951235
OWID_WRL,World,6/3/21,35397158,2061348393
OWID_WRL,World,6/4/21,39031004,2100379397
OWID_WRL,World,6/5/21,31278433,2131657830
OWID_WRL,World,6/6/21,30145904,2161803734
OWID_WRL,World,6/7/21,30845560,2192649294
OWID_WRL,World,6/8/21,33539431,2226188725
OWID_WRL,World,6/9/21,39204706,2265393431
OWID_WRL,World,6/10/21,38539761,2303933192
OWID_WRL,World,6/11/21,36027608,2339960800
OWID_WRL,World,6/12/21,29603445,2369564245
OWID_WRL,World,6/13/21,30501697,2400065942
OWID_WRL,World,6/14/21,28415605,2428481547
OWID_WRL,World,6/15/21,39451501,2467933048
OWID_WRL,World,6/16/21,41335330,2509268378
OWID_WRL,World,6/17/21,46558304,2555826682
OWID_WRL,World,6/18/21,43023919,2598850601
OWID_WRL,World,6/19/21,37119506,2635970107
OWID_WRL,World,6/20/21,35763192,2671733299
OWID_WRL,World,6/21/21,43134829,2714868128
OWID_WRL,World,6/22/21,43758368,2758626496
OWID_WRL,World,6/23/21,43146740,2801773236
OWID_WRL,World,6/24/21,47893832,2849667068
OWID_WRL,World,6/25/21,43709509,2893376577
OWID_WRL,World,6/26/21,39962375,2933338952
OWID_WRL,World,6/27/21,41014153,2974353105
OWID_WRL,World,6/28/21,37689258,3012042363
OWID_WRL,World,6/29/21,42720562,3054762925
OWID_WRL,World,6/30/21,36830657,3091593582
OWID_WRL,World,7/1/21,47120339,3138713921
OWID_WRL,World,7/2/21,33130170,3171844091
OWID_WRL,World,7/3/21,32568687,3204412778
OWID_WRL,World,7/4/21,28305996,3232718774
